caregiver_id,name,gender,birth_date,experience_years,certifications,specialties,service_region,has_vehicle,hourly_rate
1,황성민,Male,1960-08-26,2,사회복지사 2급|물리치료사,암|호스피스,GYEONGGI_GOYANG,False,18300
2,신민수,Male,1957-10-03,13,요양보호사 2급|작업치료사|물리치료사|요양보호사 1급|간호조무사,호스피스|뇌졸중|암|파킨슨|관절염|척추염,SEOUL_YANGCHEON,True,27300
3,양수진,Female,1984-09-02,10,요양보호사 2급|간호사|작업치료사|간호조무사,뇌졸중|치매|암|파킨슨|골다공증,SEOUL_GANGSEO,False,24600
4,박순자,Female,1977-01-04,9,물리치료사|요양보호사 2급|간호조무사,치매|중풍|고혈압|식사보조|재활,GYEONGGI_GOYANG,False,22600
5,안현정,Female,1989-06-20,9,간호사|요양보호사 1급|물리치료사|간호조무사,재활|고혈압|뇌졸중|식사보조|와상환자,SEOUL_SEOCHO,True,21000
6,배도윤,Male,1961-04-12,4,요양보호사 1급|간호조무사|재활치료사,중풍|와상환자|식사보조|호스피스,GYEONGGI_HANAM,False,17100
7,조미영,Female,1979-12-13,7,간호조무사|간호사|요양보호사 2급,와상환자|호스피스|파킨슨|치매,SEOUL_GEUMCHEON,True,20300
8,오미선,Female,1965-11-29,9,사회복지사 2급|간호조무사|간호사,척추염|식사보조|당뇨|암|인지장애,GYEONGGI_HANAM,False,24000
9,권서연,Female,1988-04-28,10,간호사|물리치료사|요양보호사 2급,당뇨|인지장애|척추염|골다공증|식사보조|암,SEOUL_GANGNAM,False,22800
10,김영자,Female,1966-08-18,6,요양보호사 1급|재활치료사|작업치료사,당뇨|관절염|호스피스|와상환자|식사보조,SEOUL_MAPO,False,19000
11,서은주,Female,1960-05-29,15,요양보호사 1급|물리치료사|요양보호사 2급|사회복지사 2급|간호조무사,파킨슨|호스피스|인지장애|재활|뇌졸중|관절염,SEOUL_YANGCHEON,False,27000
12,박혜진,Female,1972-03-20,7,재활치료사|요양보호사 2급|물리치료사,와상환자|파킨슨|중풍|인지장애|뇌졸중,SEOUL_GANGSEO,True,22600
13,백수진,Female,1983-05-01,7,작업치료사|물리치료사,인지장애|중풍|호스피스|뇌졸중,SEOUL_SEONGDONG,True,20100
14,정지현,Female,1966-06-16,13,간호사|재활치료사|사회복지사 2급|물리치료사|요양보호사 1급,당뇨|식사보조|인지장애|파킨슨|와상환자|관절염,SEOUL_GANGSEO,True,25300
15,정하나,Female,1957-06-21,14,작업치료사|재활치료사|요양보호사 2급|간호조무사,척추염|인지장애|암|중풍|식사보조|관절염,SEOUL_JONGNO,False,25800
16,배도윤,Male,1964-02-05,11,요양보호사 1급|간호사|재활치료사|작업치료사,식사보조|호스피스|재활|암|골다공증,SEOUL_SONGPA,False,23200
17,황혜진,Female,1956-08-20,7,간호사|간호조무사,인지장애|와상환자|치매|뇌졸중|파킨슨,SEOUL_MAPO,True,20800
18,서시우,Male,1961-04-02,14,작업치료사|요양보호사 2급|사회복지사 2급|요양보호사 1급,파킨슨|중풍|뇌졸중|인지장애|치매|암,SEOUL_GEUMCHEON,False,28600
19,이명희,Female,1953-03-02,11,물리치료사|사회복지사 2급|요양보호사 1급|작업치료사,관절염|파킨슨|중풍|호스피스|재활|당뇨,GWANGJU_SEOGU,False,22500
20,권지현,Female,1981-12-24,3,사회복지사 2급,관절염|암|인지장애|고혈압,SEOUL_DOBONG,False,18000
21,권영자,Female,1989-05-02,14,사회복지사 2급|물리치료사|간호사|재활치료사,치매|골다공증|뇌졸중|와상환자|당뇨|파킨슨,GYEONGGI_UIJEONGBU,True,26800
22,백정은,Female,1960-11-15,6,재활치료사|간호사|요양보호사 1급,당뇨|식사보조|인지장애|고혈압|재활,SEOUL_EUNPYEONG,True,19600
23,정미선,Female,1952-04-08,7,사회복지사 2급|요양보호사 1급,중풍|치매|파킨슨|당뇨,SEOUL_GWANAK,True,20800
24,황정희,Female,1964-07-07,10,간호조무사|사회복지사 2급|물리치료사|재활치료사,식사보조|호스피스|와상환자|골다공증|척추염|암,SEOUL_GEUMCHEON,True,24000
25,남상철,Male,1970-10-21,7,재활치료사|간호조무사|물리치료사,암|인지장애|재활|식사보조|관절염,SEOUL_GWANGJIN,False,20700
26,문준혁,Male,1975-11-06,12,사회복지사 2급|요양보호사 2급|물리치료사|간호조무사|작업치료사,인지장애|재활|와상환자|척추염|중풍|식사보조,DAEGU_JUNG,True,23300
27,임은주,Female,1982-11-10,8,요양보호사 1급|물리치료사|요양보호사 2급,식사보조|파킨슨|척추염|골다공증|중풍,GYEONGGI_GIMPO,False,23000
28,손현우,Male,1955-04-28,9,간호사|재활치료사|요양보호사 2급,척추염|고혈압|호스피스|파킨슨|뇌졸중,SEOUL_JUNG,True,24500
29,한미숙,Female,1972-02-05,2,간호조무사|간호사,암|중풍|호스피스,SEOUL_GWANGJIN,False,15600
30,서경희,Female,1984-01-15,10,작업치료사|요양보호사 1급|사회복지사 2급|간호사,뇌졸중|파킨슨|당뇨|중풍|치매,SEOUL_GEUMCHEON,False,22600
31,정태영,Male,1971-08-07,12,물리치료사|요양보호사 2급|사회복지사 2급|재활치료사|간호조무사,식사보조|암|당뇨|재활|중풍|골다공증,SEOUL_DONGDAEMUN,True,27000
32,최민재,Male,1984-10-17,14,작업치료사|요양보호사 1급|물리치료사|간호사|재활치료사,재활|관절염|뇌졸중|호스피스|당뇨|척추염,SEOUL_SEONGDONG,True,26500
33,이미선,Female,1982-08-15,8,물리치료사|작업치료사|요양보호사 1급|사회복지사 2급,척추염|치매|와상환자|중풍|재활,GYEONGGI_YONGIN,False,20200
34,문지현,Female,1953-09-18,15,간호조무사|간호사|작업치료사|사회복지사 2급,골다공증|고혈압|파킨슨|척추염|와상환자|인지장애,SEOUL_EUNPYEONG,True,28300
35,오준호,Male,1986-05-22,5,재활치료사|작업치료사|간호사,관절염|고혈압|중풍|호스피스,SEOUL_JUNG,False,19400
36,조미영,Female,1962-09-26,13,요양보호사 2급|물리치료사|요양보호사 1급|사회복지사 2급,중풍|와상환자|치매|고혈압|파킨슨|골다공증,GYEONGGI_NAMYANGJU,True,26100
37,신승현,Male,1984-11-14,10,간호사|간호조무사|재활치료사,관절염|재활|와상환자|뇌졸중|식사보조,SEOUL_SONGPA,False,24300
38,유현수,Male,1968-10-16,9,간호사|요양보호사 2급|간호조무사|사회복지사 2급,호스피스|관절염|파킨슨|중풍|와상환자,SEOUL_GANGNAM,True,21900
39,이민수,Male,1971-02-14,8,작업치료사|요양보호사 1급|물리치료사|요양보호사 2급,암|고혈압|식사보조|재활,SEOUL_YEONGDEUNGPO,True,22400
40,임지영,Female,1959-03-09,7,재활치료사|요양보호사 2급,고혈압|중풍|관절염|당뇨,SEOUL_SONGPA,False,22300
41,송도윤,Male,1966-12-24,5,작업치료사|사회복지사 2급|요양보호사 1급,와상환자|뇌졸중|치매,SEOUL_SONGPA,False,18600
42,권재호,Male,1966-03-28,2,물리치료사|간호사,와상환자|식사보조|골다공증,SEOUL_SEOCHO,False,17100
43,허건우,Male,1989-04-09,5,요양보호사 2급|간호사,호스피스|치매|고혈압,SEOUL_DONGJAK,True,18100
44,안정은,Female,1984-07-24,13,요양보호사 1급|물리치료사|작업치료사|간호사|사회복지사 2급,치매|골다공증|관절염|호스피스|고혈압|척추염,GYEONGGI_ANYANG,False,24000
45,허정숙,Female,1963-12-19,12,물리치료사|간호사|사회복지사 2급|요양보호사 1급|간호조무사,파킨슨|재활|중풍|와상환자|호스피스|암,SEOUL_GANGDONG,True,25900
46,안영호,Male,1978-01-19,6,요양보호사 2급|사회복지사 2급,식사보조|호스피스|당뇨|재활|인지장애,SEOUL_GWANAK,True,22000
47,허현수,Male,1983-11-03,5,요양보호사 1급|요양보호사 2급|간호조무사,중풍|재활|뇌졸중,SEOUL_MAPO,False,20600
48,최미선,Female,1973-01-29,3,간호조무사|간호사,관절염|와상환자|당뇨,SEOUL_MAPO,True,16100
49,문상철,Male,1983-07-16,7,재활치료사|사회복지사 2급|요양보호사 2급,관절염|고혈압|척추염|뇌졸중|식사보조,SEOUL_GANGSEO,True,21500
50,배숙자,Female,1983-02-11,4,작업치료사|간호조무사|요양보호사 1급,치매|암|파킨슨,SEOUL_GANGBUK,True,18200
51,임용수,Male,1955-01-14,11,요양보호사 2급|간호조무사|물리치료사,재활|골다공증|호스피스|당뇨|고혈압,SEOUL_SEONGBUK,False,22400
52,신동현,Male,1951-10-28,5,간호조무사|요양보호사 2급|재활치료사,암|파킨슨|뇌졸중|인지장애,SEOUL_YEONGDEUNGPO,False,18200
53,한용수,Male,1989-11-13,9,재활치료사|요양보호사 1급|요양보호사 2급,치매|고혈압|당뇨|재활|척추염|호스피스,SEOUL_GWANAK,True,22500
54,문지현,Female,1983-09-30,11,사회복지사 2급|간호조무사|재활치료사|간호사,당뇨|인지장애|재활|중풍|호스피스|관절염,SEOUL_JUNG,True,23000
55,권시우,Male,1971-09-08,6,물리치료사|작업치료사,와상환자|고혈압|호스피스|척추염,SEOUL_JONGNO,False,18600
56,장경희,Female,1972-06-25,4,간호사|재활치료사,호스피스|고혈압|인지장애|치매,SEOUL_SEONGBUK,True,17100
57,안수진,Female,1957-02-16,2,작업치료사,당뇨|파킨슨|호스피스,SEOUL_YEONGDEUNGPO,False,15900
58,백상철,Male,1964-06-26,8,사회복지사 2급|물리치료사|요양보호사 2급,당뇨|관절염|고혈압|파킨슨,GYEONGGI_ANYANG,True,20800
59,백정숙,Female,1978-11-29,5,간호사|요양보호사 1급|작업치료사,중풍|암|호스피스,SEOUL_GANGDONG,True,20400
60,문현수,Male,1957-01-22,10,간호사|물리치료사|사회복지사 2급|재활치료사,당뇨|골다공증|파킨슨|재활|뇌졸중,SEOUL_GANGNAM,False,24800
61,신서연,Female,1957-02-09,2,간호조무사,와상환자|뇌졸중|관절염,SEOUL_GEUMCHEON,True,16700
62,문수진,Female,1989-10-08,14,작업치료사|요양보호사 1급|사회복지사 2급|요양보호사 2급,척추염|고혈압|관절염|호스피스|식사보조|파킨슨,SEOUL_DONGDAEMUN,False,26400
63,신순자,Female,1970-07-28,10,요양보호사 2급|물리치료사|요양보호사 1급|간호조무사,관절염|척추염|호스피스|치매|파킨슨|골다공증,INCHEON_BUPYEONG,True,22400
